Number,txt,S1,S2,S3,TITLE,CONTENT
289,困,3,2,6,借財,問借錢財不必疑，錢財上卦最為宜，在秋冬多有不吉，如逢春夏利相依，財爻上卦最為宜，欲借錢財不必疑，若在秋冬多不吉，春夏相依逢利益
290,蠱,6,7,5,借財,借取錢財事為吉，再請高人來幫忙，春夏兩季尚可求，如遇秋冬難償還，六爻安靜最吉昌，借取銀錢要著方，春夏占之尚可求，如遇秋冬難濟急
291,豐,7,4,3,借財,借取錢財乃必疑，財鬼最驚困來因，財在秋冬最不足，如逄春夏兩和宜，財爻上卦最為高，借取錢財乃必疑，君在秋冬多不足，如逢春夏兩相宜
292,觀,8,5,8,借財,借取錢財問貴人，托保求之事可成，亥子庚辛財發動，眼前不順不必疑，問神明借取錢財，求托事可成得力，金水生亥子庚辛，莫生嗔暫不遂願
293,泰,2,8,1,借財,借貸占卜不得宜，借貸雙方兩見奇，幾番財利遲遲有，目前猶未合時機，官鬼妻財兩見奇，與人借貸得便宜，幾番財利遲遲有，目下猶未合事機
294,臨,1,8,2,家宅,家宅重重是非見，破財疾病有徵兆，春夏秋冬四季凶，最喜貴人來解危，家宅重重見是非，破財疾病有些微，最喜鬼神多助力，春夏秋冬得相宜
295,夬,2,2,1,家宅,卦問家宅吉神地，家宅占之大吉昌，秋冬季來財正旺，夏春口舌必須防，子神持世福神強，家宅占之大吉昌，秋冬季時財正旺，夏春口舌也須防
296,訟,3,1,6,家宅,家宅平安百事宜，貴人顯星有護佑，雖然小小多災晦，財祿豐盛百事宜，家宅平安百事宜，貴人得力有扶持，雖然小日多災晦，財祿豐盈百事依
297,蹇,4,6,7,家宅,家宅平平有是非，放心到底莫相疑，福神得力何須卜，秋季年冬利有期，家宅平平少是非，放心到底莫相宜，福神得力何須蔔，秋季年冬利有期
298,頤,5,7,4,家宅,家宅平安福壽長，官鬼不現信無妨，安康平利長久見，人丁顯達家門揚，家宅平安福壽長，鬼爻官克信無妨，三分利息秋冬見，春夏占之更喜揚
299,恆,6,4,5,家宅,卦卜家宅最為吉，興旺妻財喜見饒，煩心耽憂無大害，夏秋還有大招財，數占家宅最為高，興旺妻財喜見饒，小晦有些無大害，夏秋還有大財招
300,家人,7,5,3,家宅,家宅平安最為先，老者安之少者閒，外靈入宅官鬼擾，福人將蔭莫憂嫌，卦占家宅最為先，老者安之少者閑，官鬼文書俱發達，福人將陰莫憂煎
301,晉,8,3,8,家宅,家宅平安兩得宜，人丁得助少憂疑，秋冬財利重重見，福德財來便可期，平安家宅宜積善，有餘之家得福神，財利見秋冬厚重，出禾可期六畜興
302,恆,1,4,5,桃花,占之桃花順心懷，異性緣起好時機，專一可得心如意，郎才女貌福慧歸，取魚占之遂心懷，上流利得任君懷，專心至志君須得，縱橫張網登釣台
303,家人,2,5,3,桃花,間卦桃花順如心，逆水行舟走上風，安心穩守南方利，桃花返回兩得利，君問取魚任君心，逆風而上陸行舟，守南方有利人緣，功成業就財利生
304,晉,3,3,8,桃花,今因桃花問靈卦，水內得運有異性，桃花順利東南尋，朵朵桃花未定數，君因取魚問卜靈，水內經營有財源，求謀順利向東方，管教層層不脫空
305,臨,4,8,2,桃花,桃花須知運氣高，欲佔異性釣如鰲，幸得福緣重重臨，東成西就樂陶陶，取魚須知志氣高，欲占長川釣巨鼇，幸得福神重重卦，東成西就樂滔滔
306,夬,5,2,1,桃花,桃花精通可無阻，花園湖海顯高手，風平浪靜福自來，順心如意偶成雙，取魚精通可立身，釣船湖海顯高明，自強不息工夫妙，到手隨身利益增
307,訟,6,1,6,桃花,占卜桃花多阻礙，交心如遇風雨臨，秋來有餘勝仲秋，先知因由定商量，君占取妾事高強，欲通術數定商量，交加口舌無防事，秋高結子勝中堂
308,蹇,7,6,7,桃花,占問桃花雲遮月，此去身向北方尋，幸得貴人相扶助，尚有機緣在眼前，取魚波濤一葉舟，此身去向北方流，如今撐得灘頭到，尚有機緣在目前
309,頤,8,7,4,桃花,水中桃花總相宜，桃花占之不須疑，順水運中多利益，乾坤定有財利肥，宜水中求利吉相，取魚不須占德之，利益多從順水來，財利肥卦爻坤定
314,井,8,6,5,納史,中央選舉有官運，選舉功名得進身，財旺生官官又旺，管教日後定如心，劉文書運強官鬼，衿納功名得晉身，杉旺財官又旺運，書教定心日後行
315,賁,1,7,3,納吏,選舉功名要斟酌，貴人不顯拄費神，當防小人意外災，強求日後被人侵，納吏功名宜酌勘，文章無位枉勞神，莫嫌以卦多屯咎，只恐他時反被侵
316,豫,2,4,8,納吏,中央選舉難順心，必須斟酌再三思，錢財流失難成就，慎防五鬼官司臨，納吏功名可費利，必須斟酌再三思，鬼爻持世難成就，不得還防有是非
317,中孚,3,5,2,納吏,中央選舉難成就，官鬼休咎未得宜，今歲未能勝選舉，來春方許順心意，財爻臨應破文書，官鬼休咎是未宜，今歲未能捐納吏，來春方許遂心機
318,大有,4,3,1,納吏,中央選舉重文宣，選舉占之不得宜，今年參選嫌太快，來年喜得姓名題，數占此卦兩文書，納吏占之也覺遲，今歲爻辭唯欠快，來年或把姓名題
319,師,5,8,6,納吏,中央選舉事未安，財能助名破官印，君未見機有煩惱，遲遲方許顯耀祖，財能破利子傷官，納吏占之事未安，君不見機應著惱，遲遲方許遂心懷
320,咸,6,2,7,納吏,中央選舉難當選，選民擁扔賁人扶，若臨秋夏可順心，如在春冬更難當，納吏占之卦遇成，相世生應事無難，若臨秋夏心多遂，春冬難佔計在先
321,無妄,7,1,4,納吏,中央選舉成名期，不須疑慮問高低，今日破耗休慳吝，恐過機緣不相宜，納吏成名在此時，不須疑慮問高低，目今破耗休慳吝，恐過機緣不相宜
322,需,1,6,1,陞遷,陞遷占卦有職位，秋夏陞遷必升官，貴人化解不須疑，財官兩旺運綿綿，財爻應來可升官，仕宦占之必主歡，秋夏喬遷消息到，人情謀乾兩周全
323,蒙,2,7,6,陞遷,陞遷財官兩星明，知君官爵得高陞，雖然官鬼有阻礙，管取春來顯名財，鬼爻文書兩字明，官爵高升知君意，雖然當道些微阻，沐浴聖恩取春來
324,小過,3,4,7,陞遷,陞遷之卦最為吉，官星財星兩庭旺，辰戌丑未好佳音，陞遷上榜喜事臨，升遷之卦最為高，官鬼文書兩相交，中土座丑未戍辰，芳名著冊在銓曹
325,益,4,5,4,陞遷,陞遷官鬼不分明，財動生官事可為，當道有情求助力，冬初秋底可明朗，六爻官鬼有分明，財動生官事可憑，當道有情求助力，冬初秋底有殊恩
326,鼎,5,3,5,陞遷,君卜陞遷問此卦，怎奈文書不周全，冬令貴人來扶助，管夏秋猶恐遲延，君占此卦問升遷，怎奈文書爻不全，冬令喜神多失乾，夏秋猶恐有遲延
327,明夷,6,8,3,陞遷,陞遷問卦是時機，把握官鬼兩分明，秋初夏末時可得，進祿加官可稱心，此數熒熒官鬼明，君占此卦問遷生，秋初夏末多權印，進祿加官可稱心
328,萃,7,2,8,陞遷,欲問陞遷事未隨，官鬼臨應剋妻財，勿聽旁人說虛信，只宜守舊必然諧，鬼爻臨位克妻財，欲問升遷事未隨，休聽旁人說虛信，只宜守舊必然諧
329,履,8,1,2,陞遷,卦問陞遷可稱意，貴人吉神助無慮，巳酉丑兼寅午戌，文書發動有佳音，子孫持世他無慮，卦問升遷可稱心，寅午戌兼巳酉丑，文書發動有佳音
330,比,1,6,8,娶妻,娶妻占卦問姻緣，妻財不現事纏綿，姻緣未到造緣佳，留戀有口舌是非，卦占娶妾問姻緣，事拖延妻財不現，計問招偏緣不是，見枉圖樂莫流連
331,損,2,7,2,娶妻,求占娶妻問姻緣，內外陰有礙反覆，速速回頭前緣尋，福德賢妻多進福，今君取妾來問卜，內外鬼爻要反復，莫若須從前去尋，賢能進福妻多產
332,大壯,3,4,1,娶妻,娶妻欣逢兩相生，妻財臨門最為美，琴瑟和鳴醒夢吉，貴人造緣榮華歸，取妾欣逢此卦爻，妻財臨世最為高，夫君芝蘭夜夢吉，螽斯衍慶且榮華
333,旅,5,3,7,娶妻,娶妻只貪美貌才，婚後只恐不和諧，不如貴人造此緣，自有姻緣自然久，取妾原貪美貌才，到家只恐不和諧，不如丟過遲已娶，自有佳人送子來
334,復,6,8,4,娶妻,卦占娶妻未可期，擇來必定官鬼逼，姻緣已過有憂疑，造緣強求無是非，取妻占之未可期，應逢隔角有憂疑，若還勉強求成就，管主將來有是非
335,大過,7,2,5,娶妻,占卜娶妻事如何，美貌青絲好嬌娥，更得明珠生貴子，要知造緣得和合，欲占取妾事如何，美貌青絲好嬌娥，更得明珠生貴子，要知造化得中和
336,同人,8,1,3,娶妻,娶妻卜問未順心，先天姻緣數有定，造緣兩命皆全美，餘命遺逢恐不寧，取妾占之未稱心，內外平和終得成，水金兩命為全美，餘命遭逢恐不寧
337,渙,4,5,6,娶妻,娶妻占之卦伏藏，妻財不見子孫傷，官鬼神裏顛倒行，造緣免受話長短，取妾占之卦伏藏，妻財不見子孫傷，綠衣黃裏休顛倒，免被旁人話短長
338,井,1,6,5,婚姻,婚姻占之十分宜，官鬼妻財兩相生，誤會阻礙貴人解，祖德餘蔭天生定，求婚占之十分宜，官鬼妻財見之行，更喜媒人多助力，定教舉案得齊眉
339,賁,2,7,3,婚姻,婚姻降臨事多端，姻緣困難劫難安，官鬼相交貴不顯，一般難脫第三者，鬼爻持世問多端，君問求婚卻不安，更且媒人不得力，一般說出兩三般
340,豫,3,4,8,婚姻,占卜婚姻不為宜，小人對沖難溝通，先後緣份不周全，貴人造緣感情足，求婚占之不為宜，財祿逢沖事不齊，猶恐媒人不得力，又兼旁人搬是非
341,中孚,4,5,2,婚姻,占婚姻緣十分宜，貴人相助天已定，財喜重重多福壽，早早聯姻莫遲疑，求婚占此十分宜，二姓交孚兩得之，財喜重重多福壽，早當成就莫遲延
342,大有,5,3,1,婚姻,官鬼婚姻未相諧，雙方多有刑相剋，他年秋冬另有緣，貴人造緣婚姻祥，鬼臨世位克妻財，若問求婚事未諧，須到秋冬另有急，自有好緣遂心懷
343,師,6,8,6,婚姻,婚姻占之不為宜，憂慮重重有是非，若是重婚或外遇，刑傷見過任君為，求婚占之不為宜，官鬼重重有是非，若是重婚加外後，刑傷見過任君為
344,咸,7,2,7,婚姻,現在婚姻占卦奇，男女相生福祿饒，夫婦齊眉家計足，女多子少命中有，求婚占此卦為高，世應相生福祿饒，夫婦齊眉家計足，女多子少命中招
345,無妄,8,1,4,婚姻,卦問婚姻最為良，財富兼備兩事強，管取齊眉多福壽，並產兒孫錦衣郎，求婚占此最為良，束帛妻財兩事強，管取齊眉多福壽，並產兒孫衣錦郎
346,夬,1,2,1,移居,移居現在正當時，福德星強利祿深，東北西南家旺財，貴人相助家業成，移居遂君心勿疑，利祿源源福德強，財旺東南家北西，家成業就樂昇平
347,訟,2,1,6,移居,卦問移居可順心，從今財物自然增，目前口舌需防備，移過方安切莫停，移居卦問遂心許，財物自然增恭喜，小婦口舌須防備，莫停快移方安全
348,蹇,3,6,7,移居,卦問移居事可為，家宅生我福神齊，日後讒言休要聽，移居之後福祿臨，卦問移居事可為，應爻生世福神齊，目下讒言休要聽，移居之後有歸依
349,頤,4,7,4,移居,卜問移居事可為，卦中無鬼莫延移，福神到臨財星旺，以後方知利益興，若問移居事可為，六爻無鬼沿之遲，妻財持世財星旺，以後應知利益興
350,恆,5,4,5,移居,卦問移居可稱心，不移當然是非生，吉星應在東南位，家業田園百事亨，欲問移居許稱心，不移當有是非生，吉星應在東南位，家業田園百事亨
351,家人,6,5,3,移居,欲問移居不可移，移時不見有貴人，還應安舊休搬動，待到秋來得福臨，欲問移居不可移，移時不見有高低，還應安舊休勞碌，待到秋來得便宜
352,晉,7,3,8,移居,卦卜家宅欲移居，擇取良辰吉曰旺，安富增榮多吉利，丁旺福祿定為宜，來占家宅欲移居，擇取良辰吉日時，安富增榮多吉利，丁壬福祿定為宜
353,臨,8,8,2,移居,卜移居枉費心機，守舊安心方是美，若要強搬有災厄，貴神臨門卦不疑，費心機移居難成，世位逢官不必疑，守舊安心方是美，若還勉強有災危
354,小畜,1,5,1,脫貨,脫貨賣出有困難，反覆延誤空往還，四五六月可賣出，期過就會有牽纏，君占脫貨一時難，反復延挨空往還，巳午未臨才可脫，過期又恐有牽纏
356,未濟,2,3,6,脫貨,脫貨求財事可成，財旺生官可安心，亥子丑臨交易佳，貴人相助更周全，妻財旺相可升官，脫貨求財亦許安，交易日月亥子丑，四方得貴人相助
357,謙,3,8,7,脫貨,卦占脫貨心著急，貴客支持吉利招，買賣應期亥子期，百謀皆順永無勞，卦占脫貨心為高，貴客支持吉利招，要脫應期亥子日，百謀皆遂永無勞
358,隨,4,2,4,脫貨,卦占脫貨利為高，妻財重重卦重現，兩位貴人相助力，出門交易利多饒，數占脫貨甚為高，官鬼重重便見爻，兩貴人來相助力，出門交易利多饒
359,姤,5,1,5,脫貨,脫貨求財必稱心，行情價值喜相生，戊已來臨方可順，如逢寅卯且稍停，文書臨應喜相生，脫貨求財必稱心，戊己來臨方可遂，如逢寅卯且稍停
360,既濟,6,6,3,脫貨,卦占脫貨恐要遲，財破價低陪本錢，要忌小人來暗礙，還要破費才周全，卦占脫貨恐遲遲，財破文書事少緣，要忌小人來暗算，若還要破費周全
361,剝,7,7,8,脫貨,脫貨占之要三思，財神遲遲官鬼擾，若要脫時宜稍緩，庚辛亥子有財利，財臨應位克文書，脫貨占求要三思，若要脫時宜稍緩，庚辛亥子可謀之
362,歸妹,8,4,2,脫貨,君占脫貨主遲延，欲速成之少利源，亥子癸壬方得稅，時逢寅卯且寬閑，生意占之許遂心，貴人作主喜相生，得吉亥子癸壬方，寅卯時寬閑如意
363,漸,4,5,7,尋人,尋人何必苦追尋，消息雖真不得知，只恐旁人來做誤，虛心實意枉奔程，尋人何必苦追尋，消息雖真不得知，只恐旁人來做鬼，虛心實意枉奔忙
364,節,1,6,2,尋人,尋人占此恐難安，陰險重重卦未吉，此人恐有多災難，耐心多訪神保佑，陰節重重卦未安，尋人占此恐難幹，世克應文應可退，只宜訪察可心寬
365,大畜,2,7,1,尋人,尋人需貴人機緣，官鬼相交貴不顯，憂心憂人神佛求，四七十月可相期，鬼爻持世未為奇，欲去尋人要見機，莫若待他來自就，四十七月可相期
366,解,3,4,6,尋人,君問尋人信難通，不見人形音訊無，人在東南得飽暖，遲遲方許會相逢，文書不見信難通，君問尋人也應空，人在東南得飽暖，方許相逢有延遲
367,噬嗑,5,3,4,尋人,尋人卜問要貴人，亥子丑日音訊明，不必憂心空猜疑，自然平安返家庭，應來生世問尋人，子丑亥日定有因，不必憂心空費力，遲遲自得返家庭
368,升,6,8,5,尋人,尋人問卦且放心，此人在外得安康，寅申已亥應宜獲，管取人財返家庭，世應相生且放心，尋人端許得相親，寅申已亥應宜獲，管取人財返家庭
369,革,7,2,3,尋人,尋人占之喜相逢，路上相生最有功，岸畔永邊相聚會，人財兩見喜重重，尋人路上喜相逢，世應相生最有功，岸畔水邊相聚會，人財兩見喜重重
370,否,8,1,8,尋人,尋人不必苦心急，自然消息來告知，丑未戌辰消息臨，旁言旁語總是虛，尋人不必苦躊躇，應位逢財必自知，丑未戌辰消息到，旁言旁語總成虛
371,乾天,1,1,1,晴雨,占卦問貴人相助，問主必心誠則靈，亥子到臨貴人明，北方可望貴人顯，天雨問晴天必雨，天晴問雨主天晴，若要雨停看亥子，晴多雨少數分明
372,坎水,2,6,6,晴雨,卦問貴人天必助，若詢貴人貴必臨，坎逢壬癸亥中貴，要貴但看戌丑辰，若問天晴天必晴，若詢不雨雨來霖，陰雨水坎壬癸亥，戍申庚金誠來開
373,艮山,3,7,7,晴雨,問卜貴人難許得，庚辛申酉官鬼臨，久延問貴貴難求，及時造福貴必得，問卜天晴難許晴，庚辛卯午更傾盆，久晴問雨難求雨，久雨問晴未必晴
374,震雷,4,4,4,晴雨,君問貴人間淋漓，天道陰陽沒定期，到底少知多貴人，時逢三七九可知，人間終日雨淋漓，天道陰陽沒定期，到底雨多晴日少，時逢三七九可除
375,巽風,5,5,5,晴雨,占問貴人力不從，東南東方有貴尋，若還問貴寅申見，貴多貴少卦有靈，欲問天晴天不晴，東南方上有青雲，若還問雨寅申見，雨少晴多卦有靈
376,離火,6,3,3,晴雨,業力應旺太陽陰，貴人而今眼前知，若是久久還未遂，時逢甲子貴人顯，離宮太旺太陰明，晴雨而今眼見晴，若是久晴還有雨，時逢甲子雨又晴
377,坤地,7,8,8,晴雨,卦占貴人問貴人，五鬼貴人頃刻間，欲問貴人貴眼前，沛然業力又連纏，卦占久雨問晴天，雨怕雲行頃刻間，欲問天晴晴不久，沛然一陣又連纏
378,兌澤,8,2,2,晴雨,貴人能知萬事吉，欲問貴人貴不足，若要貴人寅午戍，貴多貴少貴分明，金龍生水雨淋林，欲問天晴天不晴，若要晴時寅午戌，晴多雨少數分明
379,觀,1,5,8,訴狀,訴狀答辯許順情，文書供詞見公理，得理則免受刑罰，他日方知卦似神，占之訴辯遂情許，文書官鬼兩分明，向陽有理無刑罰，卦似神日後方知
380,睽,2,3,2,訴狀,訴狀占知許順心，貴星降臨福神欣，逢寅午戌日月應，貴人解刑貴脫身，訴狀占之許遂心，子孫持世福神欣，待交戍日嫌寅午，免罪除刑好脫身
381,泰,3,8,1,訴狀,訴狀答辯要文書，被告占之百事宜，自有貴人來相助，貴助庭外笑嘻嘻，鬼卜書辯耍文書，名利占之百事宜，自有貴人提拔去，當官訴辯笑嘻嘻
382,困,4,2,6,訴狀,卦占訴狀不知情，暗處投明未必明，遇到寅申已亥日，貴人化解得相生，數中訴辯不知情，暗處投明未必明，待到寅申巳亥日，文書發動笑相生
383,遯,5,1,7,訴狀,訴狀答辯不知情，勉強行之定有刑，待得秋來可分明，貴人解化莫遲疑，卦占訴辯不知情，勉強行之定有刑，待得秋來可分剖，目下忍耐莫生嗔
384,屯,6,6,4,訴狀,答辯訴狀要防輸，輸贏逢凶卦未明，稍為計施主返客，待到庚申意自成，克世逢凶卦未知，欲知訴辯要防輸，稍為必將緩待客，待到庚申意自舒
385,蠱,7,7,5,訴狀,君占訴狀事分明，供詞與法要相連，水火之時得至理，法院無錢不必言，子孫官鬼怕相連，訴告須知望包收，水火之時得至理，衙門無錢不必言
386,豐,8,4,3,訴狀,訴狀法庭得順情，文書官鬼兩分明，出庭論理得方便，滅罪除刑必稱心，君占脫貨主遲延，欲速成之少利源，遇官論理方便多，稱心除刑滅災殃
387,大過,1,2,5,買屋,買房地產事可成，講屋買地可如意，春夏東北東南方，富貴榮華利安康，應來世生事宜成，買屋占之許稱心，富貴榮華從此得，家成業就永康寧
355,同人,2,1,3,買屋,買屋未安財不至，投資房地心難安，仲介多欲難成就，不如捨此別家看，財不生世卦未安，君占買屋慢心歡，中人多欲難成就，舍此不如別路看
388,比,3,6,8,買屋,占卜買屋不順心，此屋吉凶有差遲，安心守舊休輕舉，切莫胡為惹是非，此卦多凶不順宜，須知買屋有差池，安心守舊休輕舉，切莫胡為惹是非
389,損,4,7,2,買屋,買屋占卜為可宜，久積錢財買屋居，成家立業多財利，旺發人丁百世居，久積青蚨買屋局，知君占宅數為宜，成家立業多財利，旺發人丁百世居
390,大壯,5,4,1,買屋,買屋占之事可依，只宜速置不疑遲，春秋恐被旁人奪，夏季置產必定宜，買屋占之事可依，只宜速置不宜遲，春秋恐被旁人奪，夏季占之必定宜
391,渙,6,5,6,買屋,買屋置產無不妥，文書官鬼兩相和，購置房產是時機，二十餘年機運多，置產占之無不妥，文書官鬼兩相和，移家之後財源旺，二十餘年積聚多
392,旅,7,3,7,買屋,君占買屋是佳房，住進曰後斯吉昌，選擇良辰並吉曰，鄉鄰敬祝賀新房，君占買產是佳房，移家之後事吉昌，選擇良辰並吉日，親臨樽酒賀新房
393,復,8,8,4,買屋,君問買屋來占卦，買時差價頻多話，隔角是非心未安，只須退步還作罷，知君買屋來占卦，買時增價話專家，卦行未安難重重，退一步還宜罷須
394,巽風,8,5,5,買畜,買賣六畜最為良，財星兩旺有主張，且要買時定心意，勸君決意莫傍徨，欲買六畜最為良，只望心中有主張，君要買時定生息，君莫彷徨立意堅
395,離火,1,3,3,買畜,買畜卦最為良卦，六畜昌盛大發興，福德相助合君意，東南南夏大吉昌，欲占買畜最為良，世應相旺百事昌，數定買來君合意，牛多生息馬騾強
396,坤地,2,8,8,買畜,卦買禽畜來飼養，時運來到百事昌，且待北方財帛在，東西南方未為強，販賣六畜馬豬羊，百事昌時來運來，北方財帛須等待，水見東西南為難
397,兌澤,3,2,2,買畜,卜買禽畜問財源，五鬼相沖事不然，雖見欲成卻阻隔，買成之後不周全，販賣六畜問財源，世應逢沖事不然，雖見欲成還隔阻，買賣不成需仁義
398,乾天,4,1,1,買畜,買畜買牛生財源，此卦占之許順心，福德相助財甚旺，牲畜牛馬事宜成，買牛買馬作耕乘，此卦占之遂許心，世應兩生財甚旺，桴牛騾馬事宜成
399,坎水,5,6,6,買畜,君占買畜未為好，如已經營莫貪疑，若妄買進恐失利，還防走失不周全，販賣六畜未為好，且有經營莫枉幹，若枉買時恐失利，還防走失不周全
400,艮山,6,7,7,買畜,買賣禽畜價錢宜，福德妻財兩齊全，購買牲畜或寵物，恰是天運事有緣，交易來占問價錢，妻財福德兩兼全，欲求六畜豬牛馬，生物相宜事有緣
401,震雷,7,4,4,買畜,買賣六畜喜臨門，牛馬諸羊可稱心，為利不足得虛驚，好運年年添小犢，卦占六畜喜臨門，牛馬豬羊利稱心，好命年年添小犢，耕疇微利有虛驚
402,蠱,1,7,5,買貨,買賣問卦神靈真，定是求財順心意，運到貴人皆相助，定有收穫多財利，今因買賣問神靈，定是求謀得遂心，當道貴人皆有助，此行端的有收成
403,豐,2,4,3,買貨,君卜買貨必順意，君正逢財德喜生，公平出入兼得利，貴人相助財有盛，世位逢官應喜生，君占置貨必如心，公平得利要佈施，相助應教有貴人
404,觀,3,5,8,買貨,買貨來占必稱心，財星福神兩星明，出入財源三五倍，財路平坦不受驚，文書官鬼兩分明，置貨來占必稱心，出入財源三五倍，路行平坦不受驚
405,睽,4,3,2,買貨,君占買貨少如心，財位逢傷恐不成，縱成依然無大利，不如守己免勞心，君縱置貨少如心，世位逢傷恐不成，占使成之無大利，不如守己免勞心
406,泰,5,8,1,買貨,買貨難許順君懷，五鬼阻礙事不諧，勉強完交少利益，閑非口舌不可聽，子人難許遂君懷，貪合逢官事不諧，置後完交多利息，閑非口舌不可聽
407,困,6,2,6,買貨,買貨占之未順情，更逢沖突難如願，官鬼礙財利難遂，如在春冬更難全，置貨占之未遂情，應逢衝突有相爭，鬼爻持世知難遂，如在春冬難佔先
408,遯,7,1,7,買貨,買貨占得事可成，官鬼相宜不須忙，十分財利平安得，用心經營保久長，置貨占君有貴幫，子孫持世不須忙，十分財利平安得，一任經營保久長
409,屯,8,6,4,買貨,卦占買貨十分宜，本利相收利息多，申子辰中多利益，只嫌夏季未全諧，置貨買辦運財喜，子母相收利息肥，利益相合申子辰，夏季未全嫌不全
410,噬嗑,1,3,4,開店,開店占之主大吉，開店可稱心如意，四五六月多財利，冬至平平獲利少，占之主開店進財，妻財持世斷無乖，春秋夏季財多息，一般冬至平平過
411,升,2,8,5,開店,開店占之定可成，福星高照貴人來，子亥夏春多利益，何須憂愁莫猜疑，世高應下任君裁，開店占之定美哉，夏春子亥利息多，何須憂愁稱心懷
412,革,3,2,3,開店,卦卜開店可稱心，福德到臨廣進財，本少利多交易好，貴人相助財自來，卦占開店許君開，進財廣福德星臨，本少利多好佈施，騎馬貴人來自天
413,否,4,1,8,開店,君問開店事可為，店中經營沒是非，四季不如春季好，順心財喜事相圓，君問開店事可為，爻中經營沒是非，四季不如春季好，遂心財喜事相宜
414,節,5,6,2,開店,卦占開店不從心，勉強開之必有驚，若是不聽切莫勸，知財難收名難成，卦占開田不從心，勉強開之必有驚，若是不開切莫勸，須知貪戀少收成
415,大畜,6,7,1,開店,開店占之事不宜，時運不對官鬼旺，卦內福神全不現，財鬼無氣枉心機，鬼爻持世卦為奇，開店占之事不宜，卦內福神全不見，財爻無氣枉心機
416,解,7,4,6,開店,君占開店許君開，日日迎門笑開懷，福來沿氣多得意，南北東西廣招財，君占開店許君開，接入迎門笑物懷，貨物緩緩多得意，南北東西廣招財
417,漸,8,5,7,開店,欲占開店不宜開，財破官鬼利少來，若有同心來助力，秋冬交節許君開，開店不宜守欲占，財破文書定少來，同心助力或有成，交節氣秋冬有望
418,噬嗑,4,3,4,置產,置產種植卦為奇，福德星臨少是非，種豆得豆多利益，風調雨順財富歸，置田占此卦為奇，福德星臨少是非，非糧差輕多利益，勸君早就莫遲遲
419,大畜,1,7,1,置產,置產買田不可為，種植運不佳虧本，天災搞害刻難檔，其他打算免虧錢，置田占此不為安，差重糧多莫妄千，又見鬼爻臨世位，要防反覆幾多般
420,解,2,4,6,置產,置田卜得良田卦，栽種投資兩相宜，祿位福神多健旺，更得地利理相投，置田端此卦為高，中正相逢定主交，福神祿位多積福，又主詞情可相投
421,漸,3,5,7,置產,占買田園大吉昌，福神降臨買田產，地好種植多財利，喜逢貴人把心安，福神持世守田產，占買田園大吉昌，應位逢財多利益，喜逢中證好商量
422,升,5,8,5,置產,君問置產莫憂疑，福德田中利祿肥，管取旁人兩相爭，早種植早豐收成，置田占此莫猶疑，管取田中利祿肥，休得旁人爭買去，早當成就莫稽遲
423,革,6,2,3,置產,君卜置產問端詳，買後財多利更長，仲介厚利更有力，日後雙利順高強，欲問跟官事不如，文書官鬼兩差池，回頭趁早成家計，免受刑傷空自籲
424,否,7,1,8,置產,置產占得恐非宜，官鬼文書有是非，買得來時搞臨身，是是非非難見利，置田占之恐非宜，官鬼文書有是非，買得來時花利少，糧多差重重非宜
425,節,8,6,2,置產,卜問置產主吉昌，須要留心防口舌，事成日後利非常，子子孫孫旺家門，子孫臨印住田莊，占買田園主吉昌，須要留心防口舌，事成日後利非常
426,訟,1,1,6,運途,運途波折故有因，命運貴人來相助，人丁兩旺正逢時，發福興家多順意，往來命運固非宜，人旺財興值此時，發福興家多遂意，貴人相遇有扶持
427,蹇,2,6,7,運途,運途何須問好壞，喜君轉運莫猜疑，雖然早運多成敗，時來應知福綿長，命運何須問短長，喜君運限莫相商，早年敗多成少事，應知福壽長時來
428,頤,3,7,4,運途,運途得失由天命，吉凶窮通總在天，命運善果慢收成，晚年榮貴勝中年，榮枯得失皆由命，壽夭窮通總在天，欲蔔五行休息事，晚年命運勝中年
429,恆,4,4,5,運途,運途窮通不必疑，貴人無奈運未轉，十年好運才興起，家富人康百事為，君問窮通不必疑，將來造化卻何如，十年好運才行起，家富人康百事為
430,家人,5,5,3,運途,運途好壞天注定，眼前造化巳非常，貴人積德兩相助，子子孫孫福祿長，命運何須說細詳，眼前造化已非常，再能積德行方便，子子孫孫福祿長
431,晉,6,3,8,運途,運途勞苦皆是命，造福轉運總有靈，謀而不順免生怨，再過三春福祿全，一世勞苦皆是命，數年勞困總有天，謀而不遂休生怨，再過三春福祿全
432,臨,7,8,2,運途,運途占之實美哉，知君否極將泰來，打拚數載多難遂，令歲秋冬迎財利，命運占之實美哉，知君否極泰將來，謀為數載多難遂，今歲秋冬財迎來
433,夬,8,2,1,運途,運途造化事人為，眼前正是豐盈盈，一生平靜星運旺，官鬼無傷福壽增，占卜知君問五行，眼前造化正豐盈，六爻安靜星辰旺，官鬼無傷福壽增
434,家人,1,5,3,飼養,飼養不用擔心憂，會有重重財喜臨，福德照運正當時，事業不必憂盡快，卦占喜事兩重財，福德星臨應上來，若問春蠶休掛慮，十分財喜稱心懷
435,晉,2,3,8,飼養,君問卦飼養大吉，春季有益定不差，更有貴人來相助，寅卯得利更可誇，卯木妻財占大佳，春蠶有益定無差，更兼外卦來相助，絲利重重甚可誇
